meilleurs temps
S1	 n° 77	 25.030
S2	 n° 31	 25.018
S3	 n° 77	 25.006
tour	 n° 77	 78.115
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
77             26.960         42.952         37.506         105.541000     78.115005      182            +0.000          2
31             31.791         42.451         28.059         108.912003     80.120003      167            +2.005          2
1              29.619         43.374         44.987         117.979996     80.257004      215            +0.137          0
10             43.770         35.130         26.928         99.613998      81.347000      72             +1.090          2
24             40.065         25.778         31.540         103.541992     81.712997      86             +0.366          2
22             31.982         34.129         34.958         114.863998     82.250000      11             +0.537          2
11             37.597         37.993         29.387         108.914001     83.033997      176            +0.784          2
14             42.076         25.232         38.115         121.734993     83.056999      101            +0.023          2
3              42.230         40.417         42.988         98.037003      83.861000      97             +0.804          2
6              41.382         41.698         38.366         117.771996     84.384003      50             +0.523          2
18             43.859         33.513         34.283         104.750000     85.459999      122            +1.076          2
16             41.428         44.734         35.203         122.263000     85.462997      78             +0.003          2
5              42.736         26.172         32.997         86.727005      85.843002      29             +0.380          2
4              34.246         40.815         32.593         107.654007     86.029007      211            +0.186          0
47             43.244         32.548         41.987         99.520996      87.432999      142            +1.404          2
9              30.409         25.651         40.554         101.513992     87.921997      29             +0.489          2
44             28.491         29.564         29.979         124.931000     88.624001      11             +0.702          2
23             31.763         32.210         28.737         143.738007     89.835007      42             +1.211          2
55             25.280         37.762         29.239         101.568001     101.568001     2              +11.733         2
63             26.473         28.654         35.535         106.277000     103.879997     3              +2.312          2
