meilleurs temps
S1	 n° 24	 25.013
S2	 n° 44	 25.039
S3	 n° 47	 25.033
tour	 n° 63	 77.679
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
63             43.804         35.867         37.140         116.811005     77.679001      127            +0.000          0
9              29.491         34.201         31.780         95.472000      79.080994      128            +1.402          0
55             43.740         29.050         39.335         90.633003      79.232994      101            +0.152          2
44             29.361         36.411         36.262         102.034004     80.856003      132            +1.623          0
18             35.944         26.856         33.068         108.421997     81.175995      29             +0.320          2
23             35.484         36.673         42.663         109.547997     81.377998      48             +0.202          2
6              28.139         39.649         44.278         122.159004     81.654999      41             +0.277          2
47             31.057         26.801         60.741         118.598999     82.941002      127            +1.286          0
24             26.019         27.123         31.049         84.190994      84.033997      125            +1.093          0
4              29.709         36.973         33.917         105.740005     84.390999      41             +0.357          2
16             28.433         41.970         35.963         136.273987     84.448997      93             +0.058          2
22             36.694         42.628         35.825         105.312004     85.585999      25             +1.137          2
11             27.794         34.592         35.816         128.838013     86.222000      43             +0.636          2
31             36.067         34.816         39.817         98.556000      86.690994      60             +0.469          2
3              31.279         34.298         43.556         129.320007     87.245003      41             +0.554          2
5              44.885         38.060         34.221         96.096001      87.339005      14             +0.094          2
14             39.244         41.092         35.436         108.248001     90.362000      14             +3.023          2
77             25.484         30.036         33.807         112.231003     90.399002      25             +0.037          2
10             44.942         31.530         39.610         105.547005     92.423004      14             +2.024          2
1              44.427         30.300         31.108         100.487000     94.931999      14             +2.509          2
