meilleurs temps
S1	 n° 24	 25.013
S2	 n° 16	 25.165
S3	 n° 47	 25.042
tour	 n° 63	 77.679
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
63             39.847         31.187         26.460         97.493996      77.679001      43             +0.000          0
9              28.935         28.315         35.220         92.470001      79.080994      43             +1.402          0
55             42.057         40.436         51.559         134.052002     79.232994      45             +0.152          0
18             35.944         26.856         33.068         108.421997     81.175995      29             +1.943          2
23             28.346         28.913         28.303         85.562004      81.377998      41             +0.202          0
6              28.139         39.649         44.278         122.159004     81.654999      41             +0.277          2
4              29.709         36.973         33.917         105.740005     84.390999      41             +2.736          2
16             34.713         44.364         36.998         116.074997     84.448997      43             +0.058          0
44             27.507         44.776         29.321         101.604004     85.152000      44             +0.703          0
22             36.694         42.628         35.825         105.312004     85.585999      25             +0.434          2
24             25.784         43.662         29.819         99.264999      85.974998      42             +0.389          0
11             31.856         38.621         58.361         128.838013     86.222000      43             +0.247          0
31             28.244         43.539         25.691         97.474007      86.690994      40             +0.469          0
3              31.279         34.298         43.556         129.320007     87.245003      41             +0.554          2
5              44.885         38.060         34.221         96.096001      87.339005      14             +0.094          2
47             32.562         40.528         41.850         114.939995     87.908005      43             +0.569          0
14             39.244         41.092         35.436         108.248001     90.362000      14             +2.454          2
77             25.484         30.036         33.807         112.231003     90.399002      25             +0.037          2
10             44.942         31.530         39.610         105.547005     92.423004      14             +2.024          2
1              44.427         30.300         31.108         100.487000     94.931999      14             +2.509          2
